street,city,size,price,first_seen,site,type,open
Pieterstraat,haarlem,55.0,1250.00,2019-02-04 16:14:56.274841+00:00,huurstunt,Appartement,True
Charlotte Brontéstraat,amsterdam,55.0,1100.00,2018-12-30 16:55:08.657942+00:00,huurwoningen,Appartement (Galerijflat),False
Van Spilbergenstraat,amsterdam,56.0,1050.00,2018-12-30 16:55:23.054036+00:00,huurwoningen,Appartement (Galerijflat),False
Van Nijenrodeweg,amsterdam,40.0,1200.00,2018-12-30 16:55:44.935365+00:00,huurwoningen,Appartement (Bovenwoning),False
James Wattstraat,amsterdam,25.0,917.00,2018-12-30 16:55:59.682109+00:00,huurwoningen,Appartement (Galerijflat),False
Valutaboulevard,amsterdam,22.0,650.00,2018-12-30 16:56:19.535578+00:00,huurwoningen,Kamer (Kamer),False
Bos en Lommerplantsoen,amsterdam,29.0,1250.00,2018-12-30 16:56:50.951601+00:00,huurwoningen,Appartement (Bovenwoning),False
Kleiburg,amsterdam,25.0,800.00,2018-12-30 16:56:56.365361+00:00,huurwoningen,Appartement (Galerijflat),False
James Wattstraat,amsterdam,50.0,1180.00,2018-12-30 16:55:51.292391+00:00,huurwoningen,Appartement (Galerijflat),False
Eosstraat,amsterdam,25.0,1090.00,2018-12-30 16:56:38.168150+00:00,huurwoningen,Appartement (Portiekflat),False
Zuiderstraat,haarlem,22.0,700.00,2019-02-23 17:59:52.948046+00:00,kamernet,Studio,True
Kloveniersburgwal,amsterdam,32.0,1150.00,2018-12-30 16:57:45.414009+00:00,huurwoningen,Appartement (Galerijflat),False
Jan van Zutphenlaan,utrecht,60.0,1095.00,2019-02-12 23:22:08.562171+00:00,parius,Tuin,True
Kloveniersburgwal,amsterdam,30.0,1200.00,2018-12-30 16:57:34.962888+00:00,huurwoningen,Appartement (Studio),False
Kruitberghof,amsterdam,89.0,1250.00,2018-12-30 16:58:08.259885+00:00,huurwoningen,Appartement (Portiekflat),False
Surinameweg,haarlem,,905.00,2018-12-30 16:58:47.864590+00:00,huurwoningen,Huis (Eengezinswoning),False
Surinameweg,haarlem,,940.00,2018-12-30 16:58:55.169519+00:00,huurwoningen,Huis (Eengezinswoning),False
Jan Gijzenkade,haarlem,50.0,965.00,2018-12-30 16:59:19.028051+00:00,huurwoningen,Appartement (Bovenwoning),False
Amsterdamsevaart,haarlem,75.0,1195.00,2018-12-30 16:59:31.434184+00:00,huurwoningen,Appartement (Beneden- en bovenwoning),False
Warmoesstraat,haarlem,38.0,1090.00,2018-12-30 16:59:08.590043+00:00,huurwoningen,Appartement (Galerijflat),False
Surinamestraat,utrecht,15.0,450.00,2018-12-30 18:04:28.245214+00:00,jaap,Kamer,True
Kruitberghof,amsterdam,75.0,1200.00,2018-12-30 16:57:56.843714+00:00,huurwoningen,Appartement (Portiekflat),False
Kapelstraat,hilversum,44.0,700.00,2019-02-07 16:06:11.038356+00:00,huurwoningen,Appartement (Benedenwoning),False
Karspeldreef,amsterdam,72.0,1200.00,2018-12-30 16:58:16.838936+00:00,huurwoningen,Appartement (Portiekflat),False
Ridderstraat,haarlem,27.0,965.00,2018-12-30 17:01:17.697480+00:00,huurwoningen,Appartement (Studio),False
Kruisstraat,haarlem,55.0,1075.00,2018-12-30 16:59:46.802130+00:00,huurwoningen,Appartement (Bovenwoning),False
Zijhuizen,haarlem,38.0,895.00,2018-12-30 16:59:52.236897+00:00,huurwoningen,Appartement (Portiekflat),False
Zijhuizen,haarlem,45.0,1095.00,2018-12-30 17:00:02.999536+00:00,huurwoningen,Appartement (Portiekflat),False
Bakenessergracht,haarlem,60.0,1250.00,2018-12-30 17:00:17.903900+00:00,huurwoningen,Appartement (Galerijflat),False
Hagestraat,haarlem,50.0,1200.00,2018-12-30 17:00:23.376248+00:00,huurwoningen,Appartement (Benedenwoning),False
Sillemstraat,haarlem,77.0,1250.00,2018-12-30 17:00:36.829607+00:00,huurwoningen,Huis (Eengezinswoning),False
Leidsestraat,haarlem,72.0,1250.00,2018-12-30 17:00:42.352320+00:00,huurwoningen,Huis (Eengezinswoning),False
Schotersingel,haarlem,45.0,1000.00,2018-12-30 17:00:51.774637+00:00,huurwoningen,Appartement (Studio),False
Generaal Joubertstraat,haarlem,50.0,1100.00,2018-12-30 17:01:28.187593+00:00,huurwoningen,Appartement (Bovenwoning),False
Oudegracht,utrecht,30.0,595.00,2019-02-05 23:16:53.692525+00:00,parius,Vloerbedekking: Tapijt,True
Olmenstraat,haarlem,50.0,1250.00,2018-12-30 17:02:09.597541+00:00,huurwoningen,Appartement (Bovenwoning),False
Ridderstraat,haarlem,32.0,1025.00,2018-12-30 17:02:15.707822+00:00,huurwoningen,Appartement (Galerijflat),False
Ridderstraat,haarlem,29.0,1015.00,2018-12-30 17:02:26.145966+00:00,huurwoningen,Appartement (Studio),False
Ridderstraat,haarlem,36.0,995.00,2018-12-30 17:02:35.578322+00:00,huurwoningen,Appartement (Studio),False
